"Показник","Територіальний розріз","Період","Значення cпостереження"
"Середній вік населення станом на 1 січня","Чернівецька","2003","34.9"
"Середній вік населення станом на 1 січня","Чернівецька","2004","35.1"
"Середній вік населення станом на 1 січня","Чернівецька","2005","35.3"
"Середній вік населення станом на 1 січня","Чернівецька","2006","35.4"
"Середній вік населення станом на 1 січня","Чернівецька","2007","35.6"
"Середній вік населення станом на 1 січня","Чернівецька","2008","35.7"
"Середній вік населення станом на 1 січня","Чернівецька","2009","35.8"
"Середній вік населення станом на 1 січня","Чернівецька","2010","35.9"
"Середній вік населення станом на 1 січня","Чернівецька","2011","36"
"Середній вік населення станом на 1 січня","Чернівецька","2012","36.1"
"Середній вік населення станом на 1 січня","Чернівецька","2013","36.1"
"Середній вік населення станом на 1 січня","Чернівецька","2014","36.2"
"Середній вік населення станом на 1 січня","Чернівецька","2015","36.3"
"Середній вік населення станом на 1 січня","Чернівецька","2016","36.4"
"Середній вік населення станом на 1 січня","Чернівецька","2017","36.5"
"Середній вік населення станом на 1 січня","Чернівецька","2018","36.7"
"Середній вік населення станом на 1 січня","Чернівецька","2019","36.9"
"Середній вік населення станом на 1 січня","Чернівецька","2020","37.1"
"Середній вік населення станом на 1 січня","Чернівецька","2021","37.2"
"Середній вік населення станом на 1 січня","Чернівецька","2022","37.3"
"Середній вік населення станом на 1 січня","Чернівецька","2003","37.3"
"Середній вік населення станом на 1 січня","Чернівецька","2004","37.4"
"Середній вік населення станом на 1 січня","Чернівецька","2005","37.6"
"Середній вік населення станом на 1 січня","Чернівецька","2006","37.8"
"Середній вік населення станом на 1 січня","Чернівецька","2007","37.9"
"Середній вік населення станом на 1 січня","Чернівецька","2008","38.1"
"Середній вік населення станом на 1 січня","Чернівецька","2009","38.2"
"Середній вік населення станом на 1 січня","Чернівецька","2010","38.3"
"Середній вік населення станом на 1 січня","Чернівецька","2011","38.3"
"Середній вік населення станом на 1 січня","Чернівецька","2012","38.4"
"Середній вік населення станом на 1 січня","Чернівецька","2013","38.5"
"Середній вік населення станом на 1 січня","Чернівецька","2014","38.6"
"Середній вік населення станом на 1 січня","Чернівецька","2015","38.6"
"Середній вік населення станом на 1 січня","Чернівецька","2016","38.7"
"Середній вік населення станом на 1 січня","Чернівецька","2017","38.9"
"Середній вік населення станом на 1 січня","Чернівецька","2018","39"
"Середній вік населення станом на 1 січня","Чернівецька","2019","39.2"
"Середній вік населення станом на 1 січня","Чернівецька","2020","39.4"
"Середній вік населення станом на 1 січня","Чернівецька","2021","39.6"
"Середній вік населення станом на 1 січня","Чернівецька","2022","39.7"
"Середній вік населення станом на 1 січня","Чернігівська","2003","45"
"Середній вік населення станом на 1 січня","Чернігівська","2004","45.1"
"Середній вік населення станом на 1 січня","Чернігівська","2005","45.3"
"Середній вік населення станом на 1 січня","Чернігівська","2006","45.4"
"Середній вік населення станом на 1 січня","Чернігівська","2007","45.5"
"Середній вік населення станом на 1 січня","Чернігівська","2008","45.6"
"Середній вік населення станом на 1 січня","Чернігівська","2009","45.7"
"Середній вік населення станом на 1 січня","Чернігівська","2010","45.7"
"Середній вік населення станом на 1 січня","Чернігівська","2011","45.8"
"Середній вік населення станом на 1 січня","Чернігівська","2012","45.8"
"Середній вік населення станом на 1 січня","Чернігівська","2013","45.9"
"Середній вік населення станом на 1 січня","Чернігівська","2014","46"
"Середній вік населення станом на 1 січня","Чернігівська","2015","46"
"Середній вік населення станом на 1 січня","Чернігівська","2016","46.1"
"Середній вік населення станом на 1 січня","Чернігівська","2017","46.2"
"Середній вік населення станом на 1 січня","Чернігівська","2018","46.4"
"Середній вік населення станом на 1 січня","Чернігівська","2019","46.6"
"Середній вік населення станом на 1 січня","Чернігівська","2020","46.8"
"Середній вік населення станом на 1 січня","Чернігівська","2021","47"
"Середній вік населення станом на 1 січня","Чернігівська","2022","47.1"
"Середній вік населення станом на 1 січня","Чернігівська","2003","38.6"
"Середній вік населення станом на 1 січня","Чернігівська","2004","38.7"
"Середній вік населення станом на 1 січня","Чернігівська","2005","38.9"
"Середній вік населення станом на 1 січня","Чернігівська","2006","39"
"Середній вік населення станом на 1 січня","Чернігівська","2007","39.1"
"Середній вік населення станом на 1 січня","Чернігівська","2008","39.1"
"Середній вік населення станом на 1 січня","Чернігівська","2009","39.2"
"Середній вік населення станом на 1 січня","Чернігівська","2010","39.2"
"Середній вік населення станом на 1 січня","Чернігівська","2011","39.3"
"Середній вік населення станом на 1 січня","Чернігівська","2012","39.4"
"Середній вік населення станом на 1 січня","Чернігівська","2013","39.4"
"Середній вік населення станом на 1 січня","Чернігівська","2014","39.5"
"Середній вік населення станом на 1 січня","Чернігівська","2015","39.6"
"Середній вік населення станом на 1 січня","Чернігівська","2016","39.7"
"Середній вік населення станом на 1 січня","Чернігівська","2017","39.8"
"Середній вік населення станом на 1 січня","Чернігівська","2018","40"
"Середній вік населення станом на 1 січня","Чернігівська","2019","40.2"
"Середній вік населення станом на 1 січня","Чернігівська","2020","40.4"
"Середній вік населення станом на 1 січня","Чернігівська","2021","40.6"
"Середній вік населення станом на 1 січня","Чернігівська","2022","40.7"
"Середній вік населення станом на 1 січня","Чернігівська","2003","42.1"
"Середній вік населення станом на 1 січня","Чернігівська","2004","42.2"
"Середній вік населення станом на 1 січня","Чернігівська","2005","42.4"
"Середній вік населення станом на 1 січня","Чернігівська","2006","42.5"
"Середній вік населення станом на 1 січня","Чернігівська","2007","42.6"
"Середній вік населення станом на 1 січня","Чернігівська","2008","42.7"
"Середній вік населення станом на 1 січня","Чернігівська","2009","42.7"
"Середній вік населення станом на 1 січня","Чернігівська","2010","42.8"
"Середній вік населення станом на 1 січня","Чернігівська","2011","42.8"
"Середній вік населення станом на 1 січня","Чернігівська","2012","42.9"
"Середній вік населення станом на 1 січня","Чернігівська","2013","43"
"Середній вік населення станом на 1 січня","Чернігівська","2014","43"
"Середній вік населення станом на 1 січня","Чернігівська","2015","43.1"
"Середній вік населення станом на 1 січня","Чернігівська","2016","43.2"
"Середній вік населення станом на 1 січня","Чернігівська","2017","43.3"
"Середній вік населення станом на 1 січня","Чернігівська","2018","43.5"
"Середній вік населення станом на 1 січня","Чернігівська","2019","43.7"
"Середній вік населення станом на 1 січня","Чернігівська","2020","43.9"
"Середній вік населення станом на 1 січня","Чернігівська","2021","44.1"
"Середній вік населення станом на 1 січня","Чернігівська","2022","44.2"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2003","16.9"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2004","17.6"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2005","18.2"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2006","18.7"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2007","19"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2008","19"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2009","18.7"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2010","18.4"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2011","18"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2012","18.1"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2013","18.2"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2014","18.5"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2015",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2016",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2017",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2018",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2019",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2020",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2021",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2022",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2003","10.1"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2004","10.6"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2005","11.1"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2006","11.3"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2007","11.5"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2008","11.5"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2009","11.1"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2010","10.7"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2011","10.5"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2012","10.4"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2013","10.5"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2014","10.6"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2015",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2016",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2017",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2018",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2019",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2020",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2021",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2022",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2003","13.8"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2004","14.4"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2005","15"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2006","15.3"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2007","15.6"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2008","15.5"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2009","15.1"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2010","14.9"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2011","14.6"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2012","14.6"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2013","14.7"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2014","14.8"
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2015",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2016",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2017",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2018",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2019",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2020",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2021",""
"Рівень старіння населення станом на 1 січня","Автономна Республіка Крим","2022",""
"Рівень старіння населення станом на 1 січня","Вінницька","2003","21.6"
"Рівень старіння населення станом на 1 січня","Вінницька","2004","22"
"Рівень старіння населення станом на 1 січня","Вінницька","2005","22.5"
"Рівень старіння населення станом на 1 січня","Вінницька","2006","22.6"
"Рівень старіння населення станом на 1 січня","Вінницька","2007","22.8"
"Рівень старіння населення станом на 1 січня","Вінницька","2008","22.8"
"Рівень старіння населення станом на 1 січня","Вінницька","2009","22.5"
"Рівень старіння населення станом на 1 січня","Вінницька","2010","22.3"
"Рівень старіння населення станом на 1 січня","Вінницька","2011","21.7"
"Рівень старіння населення станом на 1 січня","Вінницька","2012","21.4"
"Рівень старіння населення станом на 1 січня","Вінницька","2013","21.2"
"Рівень старіння населення станом на 1 січня","Вінницька","2014","21.1"
"Рівень старіння населення станом на 1 січня","Вінницька","2015","21.3"
"Рівень старіння населення станом на 1 січня","Вінницька","2016","21.4"
"Рівень старіння населення станом на 1 січня","Вінницька","2017","21.6"
"Рівень старіння населення станом на 1 січня","Вінницька","2018","21.8"
"Рівень старіння населення станом на 1 січня","Вінницька","2019","21.9"
"Рівень старіння населення станом на 1 січня","Вінницька","2020","22.1"
"Рівень старіння населення станом на 1 січня","Вінницька","2021","22.2"
"Рівень старіння населення станом на 1 січня","Вінницька","2022","22.3"
"Рівень старіння населення станом на 1 січня","Вінницька","2003","12.1"
"Рівень старіння населення станом на 1 січня","Вінницька","2004","12.5"
"Рівень старіння населення станом на 1 січня","Вінницька","2005","12.9"
"Рівень старіння населення станом на 1 січня","Вінницька","2006","13"
"Рівень старіння населення станом на 1 січня","Вінницька","2007","13.2"
"Рівень старіння населення станом на 1 січня","Вінницька","2008","13.1"
"Рівень старіння населення станом на 1 січня","Вінницька","2009","12.8"
"Рівень старіння населення станом на 1 січня","Вінницька","2010","12.8"
"Рівень старіння населення станом на 1 січня","Вінницька","2011","12.2"
"Рівень старіння населення станом на 1 січня","Вінницька","2012","12.1"
"Рівень старіння населення станом на 1 січня","Вінницька","2013","11.9"
"Рівень старіння населення станом на 1 січня","Вінницька","2014","12"
"Рівень старіння населення станом на 1 січня","Вінницька","2015","12.1"
"Рівень старіння населення станом на 1 січня","Вінницька","2016","12.2"
"Рівень старіння населення станом на 1 січня","Вінницька","2017","12.3"
"Рівень старіння населення станом на 1 січня","Вінницька","2018","12.5"
"Рівень старіння населення станом на 1 січня","Вінницька","2019","12.6"
"Рівень старіння населення станом на 1 січня","Вінницька","2020","12.8"
"Рівень старіння населення станом на 1 січня","Вінницька","2021","12.9"
"Рівень старіння населення станом на 1 січня","Вінницька","2022","12.9"
"Рівень старіння населення станом на 1 січня","Вінницька","2003","17.2"
"Рівень старіння населення станом на 1 січня","Вінницька","2004","17.7"
"Рівень старіння населення станом на 1 січня","Вінницька","2005","18.1"
"Рівень старіння населення станом на 1 січня","Вінницька","2006","18.3"
"Рівень старіння населення станом на 1 січня","Вінницька","2007","18.4"
"Рівень старіння населення станом на 1 січня","Вінницька","2008","18.3"
"Рівень старіння населення станом на 1 січня","Вінницька","2009","18.1"
"Рівень старіння населення станом на 1 січня","Вінницька","2010","17.9"
"Рівень старіння населення станом на 1 січня","Вінницька","2011","17.3"
"Рівень старіння населення станом на 1 січня","Вінницька","2012","17.1"
"Рівень старіння населення станом на 1 січня","Вінницька","2013","17"
"Рівень старіння населення станом на 1 січня","Вінницька","2014","16.9"
"Рівень старіння населення станом на 1 січня","Вінницька","2015","17"
"Рівень старіння населення станом на 1 січня","Вінницька","2016","17.2"
"Рівень старіння населення станом на 1 січня","Вінницька","2017","17.3"
"Рівень старіння населення станом на 1 січня","Вінницька","2018","17.5"
"Рівень старіння населення станом на 1 січня","Вінницька","2019","17.6"
"Рівень старіння населення станом на 1 січня","Вінницька","2020","17.8"
"Рівень старіння населення станом на 1 січня","Вінницька","2021","17.9"
"Рівень старіння населення станом на 1 січня","Вінницька","2022","18"
"Рівень старіння населення станом на 1 січня","Волинська","2003","18.4"
"Рівень старіння населення станом на 1 січня","Волинська","2004","18.6"
"Рівень старіння населення станом на 1 січня","Волинська","2005","18.5"
"Рівень старіння населення станом на 1 січня","Волинська","2006","18.5"
"Рівень старіння населення станом на 1 січня","Волинська","2007","18.4"
"Рівень старіння населення станом на 1 січня","Волинська","2008","18.1"
"Рівень старіння населення станом на 1 січня","Волинська","2009","17.7"
"Рівень старіння населення станом на 1 січня","Волинська","2010","17.5"
"Рівень старіння населення станом на 1 січня","Волинська","2011","16.9"
"Рівень старіння населення станом на 1 січня","Волинська","2012","16.6"
"Рівень старіння населення станом на 1 січня","Волинська","2013","16.4"
"Рівень старіння населення станом на 1 січня","Волинська","2014","16.4"
"Рівень старіння населення станом на 1 січня","Волинська","2015","16.4"
"Рівень старіння населення станом на 1 січня","Волинська","2016","16.5"
"Рівень старіння населення станом на 1 січня","Волинська","2017","16.5"
"Рівень старіння населення станом на 1 січня","Волинська","2018","16.5"
"Рівень старіння населення станом на 1 січня","Волинська","2019","16.5"
"Рівень старіння населення станом на 1 січня","Волинська","2020","16.7"
"Рівень старіння населення станом на 1 січня","Волинська","2021","16.8"
"Рівень старіння населення станом на 1 січня","Волинська","2022","17"
"Рівень старіння населення станом на 1 січня","Волинська","2003","10.5"
"Рівень старіння населення станом на 1 січня","Волинська","2004","10.4"
"Рівень старіння населення станом на 1 січня","Волинська","2005","10.2"
"Рівень старіння населення станом на 1 січня","Волинська","2006","10.1"
"Рівень старіння населення станом на 1 січня","Волинська","2007","10"
"Рівень старіння населення станом на 1 січня","Волинська","2008","9.8"
"Рівень старіння населення станом на 1 січня","Волинська","2009","9.5"
"Рівень старіння населення станом на 1 січня","Волинська","2010","9.3"
"Рівень старіння населення станом на 1 січня","Волинська","2011","8.8"
"Рівень старіння населення станом на 1 січня","Волинська","2012","8.7"
"Рівень старіння населення станом на 1 січня","Волинська","2013","8.7"
"Рівень старіння населення станом на 1 січня","Волинська","2014","8.7"
"Рівень старіння населення станом на 1 січня","Волинська","2015","8.7"
"Рівень старіння населення станом на 1 січня","Волинська","2016","8.8"
"Рівень старіння населення станом на 1 січня","Волинська","2017","8.9"
"Рівень старіння населення станом на 1 січня","Волинська","2018","8.9"
"Рівень старіння населення станом на 1 січня","Волинська","2019","9.1"
"Рівень старіння населення станом на 1 січня","Волинська","2020","9.2"
"Рівень старіння населення станом на 1 січня","Волинська","2021","9.4"
"Рівень старіння населення станом на 1 січня","Волинська","2022","9.5"
"Рівень старіння населення станом на 1 січня","Волинська","2003","14.7"
"Рівень старіння населення станом на 1 січня","Волинська","2004","14.7"
"Рівень старіння населення станом на 1 січня","Волинська","2005","14.6"
"Рівень старіння населення станом на 1 січня","Волинська","2006","14.6"
"Рівень старіння населення станом на 1 січня","Волинська","2007","14.5"
"Рівень старіння населення станом на 1 січня","Волинська","2008","14.2"
"Рівень старіння населення станом на 1 січня","Волинська","2009","13.9"
"Рівень старіння населення станом на 1 січня","Волинська","2010","13.7"
"Рівень старіння населення станом на 1 січня","Волинська","2011","13.1"
"Рівень старіння населення станом на 1 січня","Волинська","2012","12.8"
"Рівень старіння населення станом на 1 січня","Волинська","2013","12.8"
"Рівень старіння населення станом на 1 січня","Волинська","2014","12.7"
"Рівень старіння населення станом на 1 січня","Волинська","2015","12.7"
"Рівень старіння населення станом на 1 січня","Волинська","2016","12.8"
"Рівень старіння населення станом на 1 січня","Волинська","2017","12.9"
"Рівень старіння населення станом на 1 січня","Волинська","2018","13"
"Рівень старіння населення станом на 1 січня","Волинська","2019","13"
"Рівень старіння населення станом на 1 січня","Волинська","2020","13.2"
"Рівень старіння населення станом на 1 січня","Волинська","2021","13.3"
"Рівень старіння населення станом на 1 січня","Волинська","2022","13.5"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2003","18"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2004","18.8"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2005","19.5"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2006","20"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2007","20.3"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2008","20.3"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2009","20"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2010","19.8"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2011","19.4"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2012","19.5"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2013","19.4"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2014","19.6"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2015","19.9"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2016","20.2"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2017","20.6"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2018","20.9"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2019","21.1"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2020","21.5"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2021","21.8"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2022","22"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2003","11.2"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2004","11.8"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2005","12.2"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2006","12.5"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2007","12.6"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2008","12.4"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2009","12.1"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2010","11.7"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2011","11.4"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2012","11.3"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2013","11.1"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2014","11.2"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2015","11.3"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2016","11.5"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2017","11.7"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2018","11.9"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2019","12.1"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2020","12.3"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2021","12.3"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2022","12.4"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2003","14.9"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2004","15.6"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2005","16.2"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2006","16.6"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2007","16.8"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2008","16.7"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2009","16.4"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2010","16.2"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2011","15.7"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2012","15.7"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2013","15.7"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2014","15.7"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2015","16"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2016","16.3"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2017","16.5"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2018","16.7"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2019","17"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2020","17.3"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2021","17.5"
"Рівень старіння населення станом на 1 січня","Дніпропетровська","2022","17.6"
"Рівень старіння населення станом на 1 січня","Донецька","2003","19.3"
"Рівень старіння населення станом на 1 січня","Донецька","2004","20.2"
"Рівень старіння населення станом на 1 січня","Донецька","2005","20.9"
"Рівень старіння населення станом на 1 січня","Донецька","2006","21.5"
"Рівень старіння населення станом на 1 січня","Донецька","2007","21.8"
"Рівень старіння населення станом на 1 січня","Донецька","2008","21.8"
"Рівень старіння населення станом на 1 січня","Донецька","2009","21.3"
"Рівень старіння населення станом на 1 січня","Донецька","2010","21"
"Рівень старіння населення станом на 1 січня","Донецька","2011","20.7"
"Рівень старіння населення станом на 1 січня","Донецька","2012","20.8"
"Рівень старіння населення станом на 1 січня","Донецька","2013","20.8"
"Рівень старіння населення станом на 1 січня","Донецька","2014","21"
"Рівень старіння населення станом на 1 січня","Донецька","2015","21.5"
"Рівень старіння населення станом на 1 січня","Донецька","2016","22.4"
"Рівень старіння населення станом на 1 січня","Донецька","2017","23.3"
"Рівень старіння населення станом на 1 січня","Донецька","2018","24.4"
"Рівень старіння населення станом на 1 січня","Донецька","2019","25.3"
"Рівень старіння населення станом на 1 січня","Донецька","2020","26.2"
"Рівень старіння населення станом на 1 січня","Донецька","2021","27.2"
"Рівень старіння населення станом на 1 січня","Донецька","2022","28.2"
"Рівень старіння населення станом на 1 січня","Донецька","2003","12.2"
"Рівень старіння населення станом на 1 січня","Донецька","2004","12.8"
"Рівень старіння населення станом на 1 січня","Донецька","2005","13.2"
"Рівень старіння населення станом на 1 січня","Донецька","2006","13.5"
"Рівень старіння населення станом на 1 січня","Донецька","2007","13.6"
